title,Fe,series,x,y
y-axis,Leaching ratio(%),75℃-0.5M,15,16.74026821
x-axis,time(min),75℃-1M,30,16.19494057
,,75℃-2M,60,17.49644254
,,,120,16.94094689
,,,180,18.26002185
,,,,33.41355865
,,,,34.53287422
,,,,36.20248399
,,,,39.83834275
,,,,44.60432738
,,,,45.31110589
,,,,47.21032677
,,,,52.37901665
,,,,53.69823319
,,,,55.77927544
