title,Mn,series,x,y
y-axis,Leaching ratio(%),100℃-0.5M,15,64.31788744
x-axis,time(min),100℃-1M,30,38.50700711
,,100℃-2M,60,43.43385326
,,,120,45.47923183
,,,180,80.06690835
,,,,30.62348713
,,,,46.57221525
,,,,48.05628909
,,,,80.43376666
,,,,0
,,,,40.57483769
,,,,60.15014372
,,,,61.7974976
,,,,68.99593479
,,,,99.409147
