title,Fe,series,x,y
y-axis,Leaching ratio(%),25℃ 2%NH₃-1.2%CO₂,15,0.001095069
x-axis,time(min),25℃ 7%NH₃-4.2%CO₂,30,0.02258813
,,25℃ 15%NH₃-9%CO₂,60,0.004155284
,,50℃ 2%NH₃-1.2%CO₂,90,0.008790404
,,50℃ 7%NH₃-4.2%CO₂,120,0.002026205
,,50℃ 15%NH₃-9%CO₂,,0.005070512
,,,,-0.000545681
,,,,0.004810511
,,,,0.011623373
,,,,0.003070483
,,,,0.013562074
,,,,0.014123928
,,,,0.019160076
,,,,0.022734308
,,,,0.030102017
,,,,0.016619261
,,,,0.005388001
,,,,0.005800555
,,,,0.008675511
,,,,0.018515261
,,,,0.02536888
,,,,0.027431216
,,,,0.033744766
,,,,0.037863201
,,,,0.037025271
,,,,0.026706917
,,,,0.038069191
,,,,0.047734482
,,,,0.086131569
,,,,0.076559316
