title,Co,series,x,y
y-axis,Leaching ratio(%),100℃-0.5M,15,76.98530078
x-axis,time(min),100℃-1M,30,47.23900303
,,100℃-2M,60,54.0631681
,,,120,57.32515459
,,,180,100.5848318
,,,,40.74976754
,,,,62.55230617
,,,,66.97533319
,,,,111.6857683
,,,,0
,,,,55.87595867
,,,,84.72734811
,,,,88.37399831
,,,,101.0245714
,,,,149.3475401
