title,Fe,series,x,y
y-axis,Leaching ratio(%),0.1M,15,67.48064287
x-axis,time(min),0.3M,30,69.44484485
,,0.5M,60,66.14982636
,,,90,64.90426567
,,,120,63.24581958
,,,,88.2531741
,,,,90.88972
,,,,90.88743917
,,,,92.55397855
,,,,91.3972193
,,,,91.13407122
,,,,92.28426242
,,,,92.57786314
,,,,93.82173507
,,,,93.60621076
