title,Cu,series,x,y
y-axis,Leaching ratio(%),0.1M,15,100.8534899
x-axis,time(min),0.3M,30,102.9679411
,,0.5M,60,97.68747851
,,,90,96.62264961
,,,120,95.72611207
,,,,106.8952392
,,,,108.2294319
,,,,104.2652003
,,,,104.0573333
,,,,99.5692787
,,,,107.5621378
,,,,107.9516883
,,,,104.2285817
,,,,103.6711252
,,,,101.6845596
